variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on CIFAR-10 Baseline,1,11,1485.1364,10.0481,1822.5742,897.959,1835.6914,419.6201,0.8896,0.8916,0.8896
ResNet-18 on CIFAR-10 Baseline,2,8,1085.473,10.05,1925.3789,897.8965,1925.4727,419.2451,0.877,0.8819,0.877
ResNet-18 on CIFAR-10 Baseline,3,10,1354.9855,9.947,1934.5977,899.959,1934.6211,420.4326,0.8858,0.8875,0.8858
ResNet-18 on CIFAR-10 Baseline,4,10,1355.5023,9.9141,1934.668,899.2715,1934.6523,420.8076,0.8644,0.8692,0.8644
ResNet-18 on CIFAR-10 Baseline,5,8,1083.1133,9.9163,1934.7148,898.834,1934.7188,420.5576,0.8782,0.8851,0.8782
ResNet-18 on CIFAR-10 Baseline,6,10,1358.3018,10.5913,1934.7969,899.084,1934.8711,418.5576,0.8886,0.8899,0.8886
ResNet-18 on CIFAR-10 Baseline,7,10,1353.6243,9.9728,1934.957,899.1465,1934.9609,419.9326,0.889,0.8948,0.889
ResNet-18 on CIFAR-10 Baseline,8,9,1221.0651,10.0874,1934.9766,897.709,1934.9922,418.9326,0.8859,0.8878,0.8859
ResNet-18 on CIFAR-10 Baseline,9,9,1218.2973,9.948,1935,898.584,1935,420.3076,0.876,0.8813,0.876
ResNet-18 on CIFAR-10 Baseline,10,9,1217.8268,9.9191,1935,897.459,1935,418.1201,0.8887,0.8922,0.8887
ResNet-18 on CIFAR-10 Baseline,mean,,1273.33258,10.03941,1922.66641,898.59025,1923.99805,419.65135,0.88232,0.88613,0.88232